location	city	state	zip	county	countyname	latitude	longitude
40.20564582,-74.64750656	Hamilton	NJ	8690	34021	Mercer	40.20564582	-74.64750656
40.37510108,-79.97947412	Brentwood	PA	15227	42003	Allegheny	40.37510108	-79.97947412
42.99743027,-74.68355329	St. Johnsville	NY	13452	36057	Montgomery	42.99743027	-74.68355329
46.56481876,-87.44729147	Marquette	MI	49855	26103	Marquette	46.56481876	-87.44729147
43.07719983,-76.0840783	De Witt	NY	13057	36067	Onondaga	43.07719983	-76.0840783
40.59160234,-74.08038363	Staten Island	NY	10305	36085	Richmond	40.59160234	-74.08038363
44.96706042,-93.40422641	St. Louis Park	MN	55426	27053	Hennepin	44.96706042	-93.40422641
40.26472014,-74.52506868	Hightstown	NJ	8520	34021	Mercer	40.26472014	-74.52506868
40.49615534,-81.44542103	New Philadelphia	OH	44663	39157	Tuscarawas	40.49615534	-81.44542103
26.70166531,-80.15303388	Golden Lakes	FL	33415	12099	Palm beach	26.70166531	-80.15303388
42.24639649,-83.74638341	Ann Arbor	MI	48104	26161	Washtenaw	42.24639649	-83.74638341
26.0689114,-97.2003237	East Cameron	TX	78578	48061	Cameron	26.0689114	-97.2003237
36.3931848,-86.4589703	Gallatin	TN	37022	47165	Sumner	36.3931848	-86.4589703
40.75544461,-73.97680039	Manhattan	NY	10177	36061	New york	40.75544461	-73.97680039
40.92007173,-74.24191942	Wayne	NJ	7512	34031	Passaic	40.92007173	-74.24191942
41.951503,-87.7679738	Chicago	IL	60641	17031	Cook	41.951503	-87.7679738
39.224,-84.4620176	Lockland	OH	45215	39061	Hamilton	39.224	-84.4620176
40.19530795,-87.62953098	Danville	IL	61834	17183	Vermilion	40.19530795	-87.62953098
39.2618533,-84.5093264	Greenhills	OH	45299	39061	Hamilton	39.2618533	-84.5093264
42.04089621,-92.95435686	Marshalltown	IA	50158	19127	Marshall	42.04089621	-92.95435686
47.2290713,-122.3971119	Tacoma	WA	98404	53053	Pierce	47.2290713	-122.3971119
42.0741686,-72.68119378	Agawam	MA	1030	25013	Hampden	42.0741686	-72.68119378
38.88163252,-94.53591745	Grandview	MO	64030	29095	Jackson	38.88163252	-94.53591745
