state_code,"county_code","value"
48,113,0.29796
41,011,0.00408
45,027,0.00408
45,021,0.00816
41,017,0.00816
24,047,0.00816
04,027,0.01224
47,121,0.00408
24,043,0.03265
04,023,0.00408
24,041,0.02041
19,015,0.00408
13,089,0.04490
19,011,0.00408
39,061,0.21633
06,065,0.23673
39,007,0.02041
39,069,0.00816
36,109,0.01633
36,067,0.15510
37,049,0.00408
36,065,0.06939
51,069,0.00408
39,109,0.09796
13,245,0.05306
36,061,0.28980
36,101,0.01633
34,033,0.01224
36,103,0.58367
37,047,0.00408
13,167,0.00408
19,153,0.10204
39,103,0.05714
39,003,0.02449
54,049,0.05714
17,095,0.00408
06,099,0.09796
12,069,0.01224
48,061,0.05714
12,061,0.00408
06,095,0.01224
28,035,0.01224
06,097,0.00816
01,069,0.00816
51,161,0.01224
20,045,0.01224
37,183,0.09388
40,013,0.01633
13,015,0.00408
55,019,0.00408
40,017,0.03265
51,760,0.01633
27,171,0.00816
51,600,0.00408
48,465,0.00408
40,019,0.02041
41,067,0.02449
13,019,0.00408
21,101,0.00408
24,017,0.00408
47,125,0.01633
01,081,0.03673
49,049,0.03265
01,125,0.03265
01,089,0.04490
18,079,0.00408
54,037,0.00816
13,057,0.00816
54,033,0.00408
18,071,0.00408
21,067,0.04898
21,065,0.00408
54,039,0.02041
45,085,0.01224
26,157,0.00816
42,055,0.01633
26,155,0.01224
12,019,0.01224
42,051,0.02449
26,099,0.20408
12,015,0.00408
48,189,0.00816
12,011,0.27347
26,093,0.03673
26,159,0.00408
26,091,0.03265
37,133,0.04898
18,085,0.02041
45,063,0.01224
37,137,0.00408
18,081,0.01633
37,135,0.02041
18,083,0.00816
29,031,0.01224
01,015,0.03265
37,139,0.00816
01,017,0.01633
18,089,0.08163
29,037,0.01224
39,039,0.00408
17,031,0.73061
05,007,0.01633
13,115,0.02041
17,037,0.00408
47,093,0.03673
17,039,0.00816
26,121,0.01224
18,105,0.02041
18,107,0.00408
21,209,0.04082
17,131,0.00408
39,063,0.01224
08,123,0.01633
17,137,0.01633
27,131,0.00408
26,045,0.03265
06,001,0.09388
21,197,0.00408
39,031,0.00408
12,086,0.23673
34,021,0.10612
26,021,0.01224
34,023,0.30612
06,073,0.17143
34,025,0.35510
06,071,0.13878
34,027,0.16327
53,027,0.00816
34,029,0.20816
37,165,0.00816
12,127,0.07347
47,165,0.04082
47,163,0.00816
19,181,0.02449
19,187,0.00408
17,045,0.00408
17,041,0.00816
13,083,0.00408
17,043,0.19592
28,105,0.02449
47,189,0.00408
47,001,0.00408
48,397,0.02041
51,023,0.01633
39,143,0.02449
19,115,0.00408
28,107,0.00408
39,149,0.00816
48,239,0.00408
37,003,0.00408
19,055,0.00408
37,001,0.00816
12,009,0.01224
36,029,0.23673
42,129,0.15102
48,249,0.01224
51,740,0.00816
42,125,0.08571
48,245,0.00408
54,029,0.01224
36,027,0.09388
36,063,0.07347
48,027,0.04490
41,047,0.02041
41,043,0.00408
45,013,0.05306
28,101,0.00408
45,019,0.05306
48,029,0.31429
36,105,0.00408
19,155,0.00816
37,031,0.01633
29,113,0.00816
27,019,0.06531
48,141,0.05714
20,009,0.01224
48,143,0.01224
54,079,0.00408
24,019,0.01633
13,185,0.01224
24,015,0.02041
37,035,0.03265
