lat,lon,value
40.20564582,-74.64750656,633
40.37510108,-79.97947412,146
42.99743027,-74.68355329,28
46.56481876,-87.44729147,3
43.07719983,-76.0840783,58
40.59160234,-74.08038363,687
44.96706042,-93.40422641,87
40.26472014,-74.52506868,687
40.49615534,-81.44542103,65
26.70166531,-80.15303388,28
42.24639649,-83.74638341,224
26.0689114,-97.2003237,38
36.3931848,-86.4589703,60
40.75544461,-73.97680039,687
40.92007173,-74.24191942,465
41.951503,-87.7679738,322
39.224,-84.4620176,126
40.19530795,-87.62953098,18
39.2618533,-84.5093264,126
42.04089621,-92.95435686,47
47.2290713,-122.3971119,95
42.0741686,-72.68119378,246
38.88163252,-94.53591745,86
38.8933934,-104.712576,26
39.6140731,-84.22354348,117
40.9161148,-73.95927523,465
26.13157891,-80.27744133,130
39.41172095,-74.36294029,687
40.512222,-81.4570631,65
34.1010124,-117.88703115,131
41.6694768,-72.9496424,246
29.88473983,-95.46840828,143
40.86993339,-73.06876573,246
30.155298,-85.6053994,7
30.411556,-97.706421,66
32.31878674,-90.17529952,6
39.82515493,-75.18174838,633
30.72330105,-88.14392735,35
33.02437215,-80.19434349,15
40.72052929,-74.30978843,687
42.3731307,-88.1532661,186
42.62345016,-82.95995476,40
38.6128651,-90.2869127,107
42.19476652,-83.20885976,224
41.2717437,-81.8153939,174
39.95386392,-75.00007758,633
47.69285705,-117.41396709,6
36.114646,-115.172813,57
34.12595011,-117.54710309,131
40.70992039,-74.01076865,687
35.9664045,-86.6606092,60
43.76111045,-71.68870834,9
40.75434079,-73.32000885,687
43.14529769,-77.59003795,57
42.13202667,-88.02238178,322
34.0771139,-117.9775768,131
33.88936759,-84.52577175,62
29.72306135,-95.36511858,143
40.66999779,-74.22351577,687
40.71599582,-73.80362278,687
38.92292905,-75.4331137,43
39.0122669,-95.7359112,17
40.30962612,-74.32384898,687
39.98990421,-74.99501232,633
40.76334892,-73.97868062,687
39.4094992,-84.58257395,45
39.0098522,-122.0533362,61
35.25388827,-81.05012308,75
41.70376437,-70.02778504,7
33.9263526,-118.21545443,206
32.48278162,-84.56193915,47
40.3869472,-75.48862557,633
43.7724915,-88.4461046,25
34.10828565,-118.15270994,206
42.08539813,-75.96671337,33
33.4189449,-111.92541688,68
40.61615737,-75.38981743,633
45.16783894,-93.38261296,80
39.92275119,-104.95338673,59
39.50241751,-76.1544212,93
40.1349171,-84.24955961,117
27.7125448,-97.4062793,34
38.89709445,-99.3264407,6
29.69843213,-95.29499387,143
33.97066717,-98.51232216,7
44.52750621,-89.57720591,5
41.9971682,-92.6654482,15
41.4266027,-86.8980277,38
42.20251082,-71.68387106,271
40.1672073,-92.1687731,1
29.01372079,-95.3995455,21
41.30416597,-96.11543857,35
40.1072129,-82.8244431,25
41.8694374,-87.769208,322
45.5689759,-94.1951937,80
40.60266069,-73.98708353,687
37.3463301,-79.9070741,32
39.3268551,-84.4172002,126
39.90331393,-75.28755603,633
26.24163844,-80.25892253,130
34.06598048,-118.35111574,206
40.11549031,-74.93278155,633
36.4918344,-86.8767958,60
