lot	lon	time
41.2706527	-72.9470471	2012-12-12
26.58886445	-81.93072577	2012-12-13
40.5838004	-81.3631182	2012-12-10
40.66546325	-74.1200148	2012-12-11
40.06788787	-75.2458955	2012-12-18
34.09897023	-118.28699254	2012-12-14
25.89946552	-80.1291623	2012-12-15
34.15023711	-118.44333513	2012-12-10
32.0997637	-96.45533765	2012-12-17
39.46876856	-94.65410002	2012-12-11
42.70925769	-78.93809193	2012-12-17
41.02575973	-80.64018403	2012-12-17
33.94931904	-117.01338632	2012-12-15
42.0995817	-72.5141237	2012-12-13
40.74418011	-73.79134915	2012-12-10
44.03702626	-92.45891639	2012-12-11
39.4094992	-84.58257395	2012-12-11
39.7219007	-75.6020412	2012-12-13
33.8245236	-118.2195894	2012-12-10
39.8275979	-75.1498168	2012-12-11
42.53557726	-82.97638943	2012-12-12
42.31541908	-85.64662325	2012-12-13
42.7600091	-88.2090109	2012-12-12
32.54061677	-96.85842178	2012-12-16
41.17115363	-80.70138409	2012-12-13
42.61319777	-82.87726098	2012-12-10
37.80994236	-86.00676603	2012-12-14
40.29950213	-79.75310619	2012-12-11
29.50434255	-81.24754095	2012-12-11
39.16199715	-76.62796447	2012-12-12
39.74901865	-74.97286554	2012-12-13
44.17022943	-88.49243525	2012-12-14
34.6575079	-106.75972748	2012-12-14
34.07152323	-84.24125031	2012-12-11
41.3437095	-72.0553531	2012-12-12
33.99587923	-117.98265173	2012-12-14
41.19053888	-81.411123	2012-12-17
32.99589654	-96.86746143	2012-12-15
39.70747127	-86.15390911	2012-12-13
41.7858356	-88.3480133	2012-12-13
29.96524354	-95.5400978	2012-12-13
42.53240546	-82.9915037	2012-12-17
40.20440348	-74.59077752	2012-12-17
42.24122733	-83.18665484	2012-12-17
36.14120285	-95.98843696	2012-12-10
33.7523173	-84.4360894	2012-12-16
28.98493021	-80.86390772	2012-12-15
46.84829296	-96.81231987	2012-12-11
45.48584481	-122.81127582	2012-12-11
33.6589143	-117.90481982	2012-12-17
30.42031101	-97.84284362	2012-12-12
38.88722815	-94.86402647	2012-12-16
40.00595199	-105.27312711	2012-12-16
42.05657069	-88.11206709	2012-12-16
30.4020996	-87.6728041	2012-12-16
34.20079267	-101.72884019	2012-12-16
43.13992575	-77.63690523	2012-12-14
42.11520022	-75.95424196	2012-12-14
28.5952244	-81.49551816	2012-12-10
42.00528725	-87.8877506	2012-12-16
36.07164142	-89.3969856	2012-12-16
42.45564718	-96.42542257	2012-12-15
34.2349888	-82.1635453	2012-12-16
39.92265955	-75.25608005	2012-12-11
30.2272299	-97.7744667	2012-12-11
